Date,FB,TWTR,NFLX,BA,T,MGM,TSLA,sp500
11/7/2013,47.560001,44.900002,46.694286,131.509995,35.110001,18.58,139.770004,1747.150024
11/8/2013,47.529999,41.650002,47.842857,133.490005,35.169998,19.09,137.949997,1770.609985
11/11/2013,46.200001,42.900002,48.272858,132.529999,35.029999,19.200001,144.699997,1771.890015
11/12/2013,46.610001,41.900002,47.675713,132.330002,35.169998,19.26,137.800003,1767.689941
11/13/2013,48.709999,42.599998,47.897144,133.169998,35.07,19.700001,138.699997,1782
11/14/2013,48.990002,44.689999,48.938572,135.089996,35.16,19.559999,137.600006,1790.619995
11/15/2013,49.009998,43.98,49.965714,136.080002,35.43,19.450001,135.449997,1798.180054
11/18/2013,45.830002,41.139999,48.824287,138.360001,35.599998,19.25,121.580002,1791.530029
11/19/2013,46.360001,41.75,48.184284,136.979996,35.720001,18.57,126.089996,1787.869995
11/20/2013,46.43,41.049999,48.502857,132.449997,35.400002,18.440001,121.110001,1781.369995
11/21/2013,46.700001,42.060001,49.785713,132.929993,35.299999,18.889999,122.099998,1795.849976
11/22/2013,46.23,41,49.692856,135.970001,35.419998,18.82,121.379997,1804.76001
11/25/2013,44.82,39.060001,50.034286,133,35.369999,18.84,120.839996,1802.47998
11/26/2013,45.889999,40.18,50.742859,134.779999,35.279999,18.83,120.5,1802.75
11/27/2013,46.490002,40.900002,51.784286,134.720001,35.41,19.18,126.940002,1807.22998
11/29/2013,47.009998,41.57,52.257141,134.25,35.209999,19.190001,127.279999,1805.810059
12/2/2013,47.060001,40.779999,51.988571,134.160004,34.799999,19.23,124.169998,1800.900024
12/3/2013,46.73,41.369999,51.848572,132,34.740002,19.26,144.699997,1795.150024
12/4/2013,48.619999,43.689999,50.895714,131.5,34.599998,19.709999,138.949997,1792.810059
12/5/2013,48.34,45.619999,51.151428,132.729996,34.25,19.690001,140.479996,1785.030029
12/6/2013,47.939999,44.950001,50.634285,135.179993,34.529999,20.17,137.360001,1805.089966
12/9/2013,48.84,49.139999,50.810001,134.679993,34.689999,20.73,141.600006,1808.369995
12/10/2013,50.25,51.990002,51.871429,133.699997,34.400002,20.860001,142.190002,1802.619995
12/11/2013,49.380001,52.34,51.997143,132.559998,33.950001,20.59,139.649994,1782.219971
12/12/2013,51.830002,55.330002,53.332859,132.960007,33.889999,20.83,147.470001,1775.5
12/13/2013,53.32,59,52.709999,133.830002,33.849998,21.200001,147.649994,1775.319946
12/16/2013,53.810001,56.610001,52.330002,134.720001,34.150002,21.709999,147.940002,1786.540039
12/17/2013,54.860001,56.450001,53.552856,135.880005,33.849998,22.219999,152.460007,1781
12/18/2013,55.57,55.509998,53.748573,135.490005,34.380001,22.65,147.979996,1810.650024
12/19/2013,55.049999,57.490002,53.82,135.169998,34.450001,22.610001,140.720001,1809.599976
12/20/2013,55.119999,60.009998,53.667141,136.669998,34.299999,22.719999,143.240005,1818.319946
12/23/2013,57.77,64.540001,54.368572,136.399994,34.689999,22.870001,143.550003,1827.98999
12/24/2013,57.959999,69.959999,54.055714,136.830002,34.950001,23.08,151.410004,1833.319946
12/26/2013,57.73,73.309998,53.847141,138.270004,35.16,23.24,155.5,1842.02002
12/27/2013,55.439999,63.75,52.5,136.899994,35.18,23.15,151.119995,1841.400024
12/30/2013,53.709999,60.509998,52.427143,135.919998,35.200001,23.379999,152.440002,1841.069946
12/31/2013,54.650002,63.650002,52.595715,136.490005,35.16,23.52,150.429993,1848.359985
1/2/2014,54.709999,67.5,51.831429,136.669998,34.950001,23.719999,150.100006,1831.97998
1/3/2014,54.560001,69,51.871429,137.619995,34.799999,23.450001,149.559998,1831.369995
1/6/2014,57.200001,66.290001,51.367142,138.410004,34.959999,23.48,147,1826.77002
1/7/2014,57.919998,61.459999,48.5,140.509995,34.950001,24.51,149.360001,1837.880005
1/8/2014,58.23,59.290001,48.712856,140.820007,34.240002,24.73,151.279999,1837.48999
1/9/2014,57.220001,57.049999,48.150002,142.130005,33.540001,24.98,147.529999,1838.130005
1/10/2014,57.939999,57,47.44857,141.899994,33.619999,25.360001,145.720001,1842.369995
1/13/2014,55.91,57.82,48.115715,140.699997,33.299999,25.25,139.339996,1819.199951
1/14/2014,57.740002,58.209999,48.279999,140.009995,33.48,25.780001,161.270004,1838.880005
1/15/2014,57.599998,61.57,47.197144,140.619995,33.790001,25.719999,164.130005,1848.380005
1/16/2014,57.189999,60.57,47.382858,140.210007,33.959999,25.780001,170.970001,1845.890015
1/17/2014,56.299999,62.200001,47.148571,140.460007,33.700001,26.41,170.009995,1838.699951
1/21/2014,58.509998,62.529999,46.958572,141.669998,33.57,26.360001,176.679993,1843.800049
1/22/2014,57.509998,62.439999,47.675713,144.369995,33.34,25.74,178.559998,1844.859985
1/23/2014,56.630001,62.799999,55.531429,141.309998,33.799999,25.18,181.5,1828.459961
1/24/2014,54.450001,61.740002,55.154285,136.649994,33.419998,23.780001,174.600006,1790.290039
1/27/2014,53.549999,57.91,54.46143,137.360001,33.509998,23.780001,169.619995,1781.560059
1/28/2014,55.139999,60.439999,58.110001,137.089996,33.700001,24.049999,178.380005,1792.5
1/29/2014,53.529999,59.450001,57.202858,129.779999,33.310001,23.280001,175.229996,1774.199951
1/30/2014,61.080002,63.470001,57.810001,126.529999,33.349998,24.110001,182.839996,1794.189941
1/31/2014,62.57,64.5,58.475716,125.260002,33.32,24.360001,181.410004,1782.589966
2/3/2014,61.48,65.25,57.76857,123.080002,31.950001,23.860001,177.110001,1741.890015
2/4/2014,62.75,66.32,57.987144,122.040001,32.450001,24.200001,178.729996,1755.199951
2/5/2014,62.189999,65.970001,57.774284,121.400002,32.080002,23.67,174.419998,1751.640015
2/6/2014,62.16,50.029999,58.272858,122.669998,32,24.290001,178.380005,1773.430054
2/7/2014,64.32,54.349998,61.425713,127.019997,32.299999,24.799999,186.529999,1797.02002
2/10/2014,63.549999,52.919998,61.491428,127.160004,32.439999,24.639999,196.559998,1799.839966
2/11/2014,64.849998,54,61.998573,130.160004,32.950001,25.25,196.619995,1819.75
2/12/2014,64.449997,56.849998,61.275715,128.130005,32.939999,25.32,195.320007,1819.26001
2/13/2014,67.330002,56.470001,62.364285,129.5,33.490002,25.58,199.630005,1829.829956
2/14/2014,67.089996,57.439999,62.215714,130.160004,33.150002,26.02,198.229996,1838.630005
2/18/2014,67.300003,58.18,62.407143,130.630005,32.82,25.85,203.699997,1840.76001
2/19/2014,68.059998,55.5,61.175713,128.389999,32.849998,25.75,193.639999,1828.75
2/20/2014,69.629997,56.630001,62.135715,129.559998,33.18,26.83,209.970001,1839.780029
2/21/2014,68.589996,55.919998,61.747143,128.279999,32.799999,27.049999,209.600006,1836.25
2/24/2014,70.779999,55.779999,63.857143,129.589996,32.470001,27.84,217.649994,1847.609985
2/25/2014,69.849998,54.959999,64.718575,126.779999,32.169998,27.540001,248,1845.119995
2/26/2014,69.260002,55.869999,64.112854,126.610001,32,27.49,253,1845.160034
2/27/2014,68.940002,55.77,64.604286,128.559998,32.23,27.860001,252.539993,1854.290039
2/28/2014,68.459999,54.91,63.66143,128.919998,31.93,27.549999,244.809998,1859.449951
3/3/2014,67.410004,53.709999,63.655716,128.220001,31.860001,27.6,250.559998,1845.72998
3/4/2014,68.800003,54.279999,64.997147,130.229996,32.150002,28.290001,254.839996,1873.910034
3/5/2014,71.57,54.380001,64.785713,128.789993,32.130001,28.219999,252.660004,1873.810059
3/6/2014,70.839996,54.830002,64.358574,128.860001,32.34,28.389999,252.940002,1877.030029
3/7/2014,69.800003,53.529999,64.052856,128.539993,32.540001,28.290001,246.210007,1878.040039
3/10/2014,72.029999,53.880001,62.849998,126.889999,32.509998,27.709999,238.839996,1877.170044
3/11/2014,70.099998,54.02,62.497143,125.669998,32.23,27.049999,234.410004,1867.630005
3/12/2014,70.879997,54.5,62.368572,124.43,32.380001,26.950001,241.490005,1868.199951
3/13/2014,68.830002,53.57,61.437141,121.889999,32.349998,26.5,237.789993,1846.339966
3/14/2014,67.720001,51.919998,60.64143,123.110001,32.490002,26.27,230.970001,1841.130005
3/17/2014,68.739998,52.049999,60.388573,125.419998,32.889999,26.610001,233.979996,1858.829956
3/18/2014,69.190002,51.130001,60.035713,124.040001,32.98,26.790001,240.039993,1872.25
3/19/2014,68.239998,51.240002,60.012856,122.239998,32.959999,26.58,235.839996,1860.77002
3/20/2014,66.970001,50.119999,60.610001,123.730003,34.09,26.379999,234.910004,1872.01001
3/21/2014,67.239998,50.919998,57.998573,122.580002,34.299999,26.18,228.889999,1866.52002
3/24/2014,64.099998,48.77,54.128571,123.419998,34.459999,25.85,220.169998,1857.439941
3/25/2014,64.889999,47.880001,52.977142,124.019997,34.720001,25.610001,220.440002,1865.619995
3/26/2014,60.389999,44.43,53.182858,123.529999,34.610001,24.969999,212.960007,1852.560059
3/27/2014,60.970001,46.32,52.025715,123.209999,34.959999,24.9,207.320007,1849.040039
3/28/2014,60.009998,47.299999,51.267143,124.459999,35.07,24.879999,212.369995,1857.619995
3/31/2014,60.240002,46.669998,50.290001,125.489998,35.07,25.860001,208.449997,1872.339966
4/1/2014,62.619999,46.98,52.098572,128.210007,35.09,26.530001,216.970001,1885.52002
4/2/2014,62.720001,45.73,51.84,128.309998,35.369999,26.700001,230.289993,1890.900024
4/3/2014,59.490002,44.049999,50.669998,128.779999,35.630001,26.25,225.399994,1888.77002
4/4/2014,56.75,43.139999,48.187141,127.379997,35.549999,25.43,212.229996,1865.089966
4/7/2014,56.950001,42.450001,48.285713,125.589996,35.490002,23.92,207.520004,1845.040039
4/8/2014,58.189999,41.779999,49.841427,124.150002,35.27,24.459999,215.460007,1851.959961
4/9/2014,62.41,42.490002,50.432858,126.879997,34.919998,24.860001,216.929993,1872.180054
4/10/2014,59.16,41.34,47.818573,123.639999,35.119999,24.08,204.190002,1833.079956
